AND, Andromeda, 7.58145424879, 39.8714420652, 0.0
ANT, Antlia, 10.2017004488, -33.6282936048, 0.0
APS, Apus, 16.184724722, -75.9873741463, 0.0
AQR, Aquarius, 22.2876725937, -9.92002642184, 0.0
AQL, Aquila, 19.581591127, 4.0, 0.0
ARA, Ara, 17.3451678343, -55.7493739646, 0.0
ARI, Aries, 2.65813830303, 20.5595657788, 0.0
AUR, Auriga, 6.00721960403, 41.2770083523, 0.0
BOO, Bootes, 14.6836869473, 31.7433023036, 0.0
CAE, Caelum, 4.73207558571, -38.1068656386, 0.0
CAM, Camelopardalis, 8.64278470413, 75.1275930562, 0.0
CNC, Cancer, 8.64998293168, 19.4644791624, 0.0
CVN, Canes Venatici, 13.1547424104, 40.243425433, 0.0
CMA, Canis Major, 6.82357599277, -22.0584379145, 0.0
CMI, Canis Minor, 7.4309297, 4.5, 0.0
CAP, Capricornus, 21.0324643835, -17.6844162642, 0.0
CAR, Carina, 8.7856436217, -61.3848890104, 0.0
CAS, Cassiopeia, 0.8, 62.7980488099, 0.0
CEN, Centaurus, 13.0829144977, -47.6928937747, 0.0
CEP, Cepheus, 22.0, 68.0, 0.0
CET, Cetus, 4.4638066, -7.81423258508, 0.0
CHA, Chamaeleon, 10.681534753, -79.2862269086, 0.0
CIR, Circinus, 14.67084906, -63.9095968489, 0.0
COL, Columba, 5.83167431, -35.5599605375, 0.0
COM, Coma Berenices, 12.7580637857, 22.7531871637, 0.0
CRA, Corona Austrina, 18.6373954424, -41.2204946797, 0.0
CRB, Corona Borealis, 15.8665521594, 32.2364879484, 0.0
CRV, Corvus, 12.4339248203, -18.4771478441, 0.0
CRT, Crater, 11.3954909625, -15.8131491694, 0.0
CRU, Crux, 12.4483330812, -60.1889224875, 0.0
CYG, Cygnus, 20.5357020891, 40.0, 0.0
DEL, Delphinus, 20.6771051086, 12.11533648, 0.0
DOR, Dorado, 5.11038956667, -60.5654546583, 0.0
DRA, Draco, 15.5150768358, 64, 0.0
EQU, Equuleus, 21.1985730821, 7.6554042, 0.0
ERI, Eridanus, 3.4072809213, -29.9197972329, 0.0
FOR, Fornax, 2.78703302347, -31.4670244908, 0.0
GEM, Gemini, 7.10701728293, 23.193350535, 0.0
GRU, Grus, 22.4956173257, -45.6852264752, 0.0
HER, Hercules, 17.256843539, 28.1043050945, 0.0
HOR, Horologium, 3.26140191382, -53.0838520724, 0.0
HYA, Hydra, 11.8, -26.5, 0.0
HYI, Hydrus, 2.24789755285, -72.8621490762, 0.0
IND, Indus, 21.8720891728, -61.3599605457, 0.0
LAC, Lacerta, 22.4807254575, 45.925810765, 0.0
LEO, Leo, 10.7025515682, 15.2843162936, 0.0
LMI, Leo Minor, 10.3180755474, 33.2189696632, 0.0
LEP, Lepus, 5.55908911316, -18.8301393184, 0.0
LIB, Libra, 15.2114969798, -15.121912064, 0.0
LUP, Lupus, 15.244568164, -43.1118315279, 0.0
LYN, Lynx, 7.98542285, 47.3248158399, 0.0
LYR, Lyra, 18.5, 33.0, 0.0
MEN, Mensa, 5.39199142516, -78.4814953151, 0.0
MIC, Microscopium, 20.9654146273, -36.2737575864, 0.0
MON, Monoceros, 7.00791493109, -2.16068047227, 0.0
MUS, Musca, 12.5935777396, -70.2031640969, 0.0
NOR, Norma, 15.9783609012, -52.0318343927, 0.0
OCT, Octans, 5.94748186715, -85.0238079471, 0.0
OPH, Ophiuchus, 17.371452863, -5.87484961481, 0.0
ORI, Orion, 5.63249203431, 3.5, 0.0
PAV, Pavo, 19.6073853634, -65.6828439516, 0.0
PEG, Pegasus, 23.5, 19.3062771142, 0.0
PER, Perseus, 3.19292174277, 46.3742112277, 0.0
PHE, Phoenix, 7.41837889091, -47.6459052659, 0.0
PIC, Pictor, 5.70282535169, -53.7101050864, 0.0
PSC, Pisces, 7.27142720773, 11.3149177356, 0.0
PSA, Piscis Austrinus, 22.2858054446, -30.5748692851, 0.0
PUP, Puppis, 7.48592385519, -34.3401869903, 0.0
PYX, Pyxis, 8.91758203194, -27.7820575042, 0.0
RET, Reticulum, 3.91248246351, -60.5866754838, 0.0
SGE, Sagitta, 19.6741476677, 18.7749410484, 0.0
SGR, Sagittarius, 18.7, -30.0, 0.0
SCO, Scorpius, 16.5, -31.0, 0.0
SCL, Sculptor, 9.35653312035, -31.8809536283, 0.0
SCT, Scutum, 18.6854337889, -9.75964645111, 0.0
SER1, , 15.7347575735, 10.3440314961, 0.0
SER2, Serpens, 18.1870516402, -5.08013677692, 0.0
SEX, Sextans, 10.2725343833, -2.61694963611, 0.0
TAU, Taurus, 4.9, 19.0, 0.0
TEL, Telescopium, 19.3218171558, -50.9723917547, 0.0
TRI, Triangulum, 2.18242235147, 31.9075133088, 0.0
TRA, Triangulum Australe, 16.0936959821, -66.0634323158, 0.0
TUC, Tucana, 12.8562086271, -64.9127784292, 0.0
UMA, Ursa Major, 11.2652257417, 54.444857852, 0.0
UMI, Ursa Minor, 15.1513663919, 83.4775420956, 0.0
VEL, Vela, 9.54683615037, -47.7548538556, 0.0
VIR, Virgo, 13.3668082357, -2.65832286054, 0.0
VOL, Volans, 7.79074364796, -69.8073178541, 0.0
